BARDID,VesselID,RegistrationNumber,VesselEvent1,VesselEvent2,VesselEvent3,OtherVesselEvent,VesselCause1,VesselCause2,VesselCause3,OtherVesselCause,VesselEquipmentFailure,OtherEquipmentFailure,VesselMachineryFailure,OtherMachineryFailure,OperatorGender,OperatorAge,OperatorExperience,OperatorOtherEducation,OperatorEducation,OperatorPFDWorn,OperatorUsingAlcohol,OperatorUsingDrugs,WeatherReportsConsulted,InternetTrainingOrganization,EngineCutOffSwitchUsed,OWIArrest,BAC,DocumentNumber,HistoricalCodingVesselType,VesselType,OtherVesselType,Length,EngineType,OtherEngineType,HullMaterial,OtherHullMaterial,FuelType,Propulsion,Operation,OtherOperation,Activity,OtherActivity,RentedBoat,Manufacturer,Model,HIN,EngineManufacturer,VesselName,NumberofEngines,Horsepower,BeamWidth,DepthinFeet,DepthinInches,ModelYear,NumberBoatingCitations,VesselaCompleteLoss,NumberPeopleOnboard,NumberPeopleTowed,NumberPeopleWearingLifeJackets,NumberLifeJacketsOnboard,NumberFireExtOnboard,NumberFireExtUsed,DamagetoVessel,VesselDamageDescription,DamagetoNonVesselProperty,NonVesselPropertyDamageDescription,AmountFireExtUsed,FireExtType,NumberDeaths,NumberInjured
AR-2023-0037,2,AR 844 DEY,Vessel struck by another vessel,,,,None; not at fault,,,,,,,,,,No operator,,No operator,,,,,,,,,,,Open motorboat,,20,Inboard,,Fiberglass,,Gas,Propeller,Tied to dock/mooring,,None; not in use,,0,TRACKER,TAHOE,BUJA19TMH506,,,1,260,,,,2006,,N,0,0,,,,,3000.0,"OPEN MOTORBOAT - ON LIFT IN DOCK, SKEG BROKEN OFF",,,,,0.0,0.0
AR-2023-0038,1,AR 618 DXG,Fall in vessel,Falls overboard,,,Operator inexperience,Excessive speed,Force of wake/wave,,,,,,-1,54,Unknown,,No education,Y,N,N,N,,Y,0,,,,Personal watercraft,,11,Inboard,,Fiberglass,,Gas,Water jet,Cruising,,Boating/relaxation,,0,SEADOO,GTX,YDV19057J223,,,1,300,,,,2023,,N,1,0,,,,,0.0,,,,,,0.0,1.0
AR-2023-0039,1,AL 2126 LR,Person struck by propeller,,,,Operator inattention,,,,,,,,-1,64,Over 500 hours,,No education,N,N,N,N,,N,0,,,,Open motorboat,,24,Outboard,,Fiberglass,,Gas,Propeller,Cruising,,Towed watersports,,0,EVERGLADES,,RJD01062C708,,,1,250,,,,2008,,N,8,1,,,,,0.0,,,,,,0.0,1.0
AR-2023-0040,1,AR 775 DAM,Grounding,,,,Operator inattention,,,,,,,,-1,75,Over 500 hours,,No education,N,N,N,N,,,0,,,,Open motorboat,,26,Sterndrive,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,0,CHAPARRAL,263 SUNESTA DECK,FGBP0434D202,,,1,350,,,,2002,,N,1,0,,,,,20000.0,OPEN MOTORBOAT - DAMAGE TO KEEL/HULL FROM BOW TO STERN,,,,,0.0,1.0
AR-2023-0041,1,AR 982 DWT,Grounding,,,,Operator inattention,Improper lookout,,,,,,,-1,46,101 to 500 hours,,No education,N,N,N,N,,,0,,,,Open motorboat,,22,Inboard,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,0,SUPRA,SA400,ISRSP034I920,,,1,400,,,,2020,,N,2,0,,,,,40000.0,BOW TO STERN/PORT AND STARBOARD SIDE HULL/KEEL DAMAGE TO FIBERGLASS.,,,,,0.0,0.0
AR-2023-0042,1,AR 406 DXL,Flooding/swamping,Sinking,,,Other,Operator inattention,,Poor maintenance,,,,,-1,48,Over 500 hours,,No education,N,N,N,N,,N,0,,,,Open motorboat,,23,Sterndrive,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,0,WELLCRAFT,NOVA,WELP6479C090,,,1,260,,,,1990,,N,1,,,,,,11000.0,SUBMERGED,,,,,0.0,0.0
AR-2023-0043,1,AR 031 DRV,Vessel struck by another vessel,,,,Operator inattention,,,,,,,,-1,46,Unknown,,No education,Y,N,N,N,,,0,,,,Personal watercraft,,10,Inboard,,Fiberglass,,Gas,Water jet,Changing direction,,Boating/relaxation,,-1,YAMAHA,VX DELUXE,YAMA3826C808,,,1,110,,,,2008,,N,2,,,,,,4500.0,PWC - PORT SIDE STERN AREA - FIBERGLASS DAMAGE,,,,,0.0,0.0
AR-2023-0043,2,AR 257 DRW,Collision with recreational vessel,,,,Operator inattention,Operator inexperience,,,,,,,0,49,Unknown,,No education,Y,N,N,N,,Y,0,,,,Personal watercraft,,10,Inboard,,Fiberglass,,Gas,Water jet,Cruising,,Boating/relaxation,,-1,YAMAHA,VX DELUXE,YAMA3792F808,,,1,110,,,,2008,,N,1,0,,,,,500.0,PWC - BOW,,,,,0.0,0.0
AR-2023-0045,1,AR 268 DWW,Collision with floating object,Flooding/swamping,,,Operator inexperience,Operator inattention,,,,,,,-1,19,10 to 100 hours,,State,N,N,N,N,,,0,,,,Open motorboat,,16,Outboard,,Aluminum,,Gas,Propeller,Cruising,,Boating/relaxation,,0,HAVOC,DBSTC,TTN07980E222,,,1,40,,,,2022,,N,2,,,,,,10500.0,"SUBMERGED, MUD MOTOR TOTALED",,,,,0.0,0.0
AR-2023-0046,1,AR 059 DLM,Collision with fixed object,Person ejected from vessel,,,Operator inattention,Alcohol,Improper lookout,,,,,,-1,47,10 to 100 hours,,No education,N,Y,N,N,,N,0,,,,Open motorboat,,21,Sterndrive,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,0,CROWNLINE,,JTC63516L506,,,1,200,,,,2006,,Y,2,0,,,,0,15000.0,OPEN MOTORBOAT - BOW AND VESSEL SUBMERGED,,,,,0.0,2.0
