file,incident_id,date,year,date_precision,state,county,city,body_of_water,facility_name,has_coordinates,incident_type,fatality_count,injury_count,near_miss_count,victim_count,victims_named,victims_age_known,victims_gender_known,electrical_source,water_type,voltage_reported,has_fault_description,is_freshwater_private_dock,is_freshwater_marina,setting_classifier_confidence,verification_level,esdpa_listed,esdpa_entry_count,esdpa_entry_numbers,esdpa_date_correct,esdpa_date_listed,esdpa_data_issue_count,esdpa_data_issues,discovery_source,additional_sources,independent_source_count_yaml,sources_total,sources_primary,sources_by_type,distinct_outlets,project_refs_count,has_notes,has_research_notes,missing_key_fields,audit_flags,audit_flag_count
ESD-0000-00-00-1.md,ESD-0000-00-00-1,1986-06-08,1986,approximate,WI,Pierce,Prescott,St. Croix River,Unknown — near swim platform,False,fatal,1,0,0,1,0,1,1,charger,fresh,False,True,False,False,low,UNVERIFIED,True,1,"FI-XXXX-002 (project file, no date in ESDPA)",False,,1,"No date in ESDPA document; AuGres Maritime Museum suggests June 8, 1986 but unverified",ESDPA,,0,0,0,{},0,1,True,True,,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | NO_VICTIM_NAMED | DATE_WEAK | ESDPA_DATE_DEV_UNDOCUMENTED | ESDPA_DEVIATION,6
ESD-0000-00-00-2.md,ESD-0000-00-00-2,,,approximate,OK,,,Community swimming pool,City recreational center pool,False,fatal,1,0,0,1,0,1,1,other,pool,False,True,False,False,high,UNVERIFIED,True,1,"FI-XXXX-003 (project file, no date in ESDPA)",False,,3,No date provided in ESDPA document; Oklahoma location cannot be independently verified; EC&M case study matches details but does not specify location,ESDPA,,1,1,1,"{""news"": 1}",1,1,True,True,date,NO_VICTIM_NAMED | DATE_WEAK | MISSING:date | ESDPA_DATE_DEV_UNDOCUMENTED | ESDPA_DEVIATION,5
ESD-0000-00-00-3.md,ESD-0000-00-00-3,,,approximate,TX,Travis,,Lake Travis,,False,fatal,2,0,0,2,0,0,2,charger,fresh,False,True,False,False,low,SUSPECTED,False,0,,,,0,,LOA1,,1,0,0,{},0,1,True,True,"date, facility_name","NOVEL_LOW_SOURCES | NO_SOURCES_LIST | NO_VICTIM_NAMED | DATE_WEAK | MISSING:date,facility_name",5
ESD-1981-07-00-1.md,ESD-1981-07-00-1,1981-07,1981,month,CT,,Essex,Connecticut River,,False,near-miss,0,0,1,1,0,0,1,shore_power,brackish,False,True,False,False,high,UNVERIFIED,True,0,,True,,0,,ESDPA,,0,0,0,{},0,1,True,True,facility_name,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | MISSING:facility_name,3
ESD-1982-00-00-1.md,ESD-1982-00-00-1,1982,1982,year,WI,Door,Egg Harbor,Green Bay,,False,near-miss,0,0,1,1,0,1,1,dock_wiring,fresh,False,True,False,False,low,UNVERIFIED,True,0,,True,,0,,ESDPA,,0,0,0,{},0,1,True,True,facility_name,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | MISSING:facility_name,3
ESD-1982-12-00-1.md,ESD-1982-12-00-1,1982-12,1982,month,TX,Marion,Avinger,Lake O' The Pines,Near Johnson Creek,False,fatal,1,0,3,4,1,0,4,overhead_line,fresh,False,True,False,False,high,SUSPECTED,False,0,,,,0,,LOA1,,1,1,1,"{""news"": 1}",1,1,True,True,,NOVEL_LOW_SOURCES,1
ESD-1986-07-29-1.md,ESD-1986-07-29-1,1986-07-29,1986,exact,MI,Wayne,Grosse Pointe Shores,Lake St. Clair,Grosse Pointe Yacht Club,False,fatal,1,0,0,1,0,0,1,dock_wiring,fresh,False,False,False,True,high,UNVERIFIED,True,1,#113A (Rev. 8/15/2025),True,,2,"Information relayed third-hand, reducing confidence in details; Sub-incident (A) of ESDPA item #113; sub-incident (B) is FI-1986-002 at Petoskey, MI",ESDPA,,0,0,0,{},0,1,True,True,,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | NO_VICTIM_NAMED | ESDPA_DEVIATION,4
ESD-1986-07-29-2.md,ESD-1986-07-29-2,1986-07-29,1986,exact,MI,Emmet,Petoskey,Little Traverse Bay (Lake Michigan),,False,fatal,1,0,0,1,0,0,1,dock_wiring,fresh,False,False,False,False,low,UNVERIFIED,True,1,#113B (Rev. 8/15/2025),True,,3,"City misspelled as 'Petosky' in ESDPA list; correct spelling is 'Petoskey'; Information relayed third-hand, reducing confidence in details; Sub-incident (B) of ESDPA item #113; sub-incident (A) is FI-1986-001 at Grosse Pointe Yacht Club",ESDPA,,0,0,0,{},0,1,True,True,facility_name,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | NO_VICTIM_NAMED | MISSING:facility_name | ESDPA_DEVIATION,5
ESD-1986-07-29-3.md,ESD-1986-07-29-3,1986-07-29,1986,exact,KY,Jefferson,Louisville,Harrods Creek (Ohio River),Harrods Creek Boat Harbor,False,fatal,2,0,0,2,1,1,2,shore_power,fresh,False,True,False,True,high,VERIFIED,True,1,#114 (Rev. 8/15/2025),False,1986-06-08,3,"ESDPA date listed as June 8, 1986; correct date is July 29, 1986 per ODMP and Louisville Metro PD; ESDPA location listed as 'Lexington KY'; correct location is Louisville/Jefferson County KY (Harrods Creek); Two dogs survived the incident (noted in ESDPA but not significant for dataset)",ESDPA,,3,3,3,"{""government"": 1, ""memorial"": 2}",3,1,True,True,,ESDPA_DEVIATION,1
ESD-1987-00-00-1.md,ESD-1987-00-00-1,1987,1987,year,MI,Ottawa,Park Township,Lake Macatawa,Bay Haven Marina,False,fatal,1,0,2,1,0,1,1,dock_wiring,fresh,False,False,False,True,high,UNVERIFIED,True,1,#112 (Rev. 8/15/2025),True,,1,Year uncertain: listed as '1987 or 1988' in ESDPA; filed under 1987 as default,ESDPA,LOA2,0,0,0,{},0,2,True,True,,ESDPA_ONLY_NO_INDEP | NO_SOURCES_LIST | NO_VICTIM_NAMED | ESDPA_DEVIATION,4
