file,incident_id,date,year,state,body_of_water,facility_name,victims_named,fatality_count,incident_type,verification_level,esdpa_listed,esdpa_entry_numbers,independent_source_count,sources_total,primary_source_count,discovery_source,notes,weakness_reasons,sources_preview,tier,suggested_action,effort
ESD-0000-00-00-1.md,ESD-0000-00-00-1,1986-06-08,1986,WI,St. Croix River,Unknown — near swim platform,,1,fatal,UNVERIFIED,True,"FI-XXXX-002 (project file, no date in ESDPA)",0,0,0,ESDPA,"A 44-year-old man reportedly disappeared while approaching a swim platform on the St. Croix River in Prescott, Wisconsin. A battery charger had faulted and no AC grounding wire was present. The AuGres Maritime Museum compilation suggests a date of June 8, 1986, but no independent primary sources (ne",ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, old","Check obituary archives, local newspaper morgues",hard
ESD-0000-00-00-2.md,ESD-0000-00-00-2,None,,OK,Community swimming pool,City recreational center pool,,1,fatal,UNVERIFIED,True,"FI-XXXX-003 (project file, no date in ESDPA)",1,1,1,ESDPA,"A 10-year-old boy (referred to as 'Brian' in EC&M article) was electrocuted at a city recreational center pool while buying candy from a vending machine. A damaged power cord from an adjacent soda machine, pinched under the candy machine leg, energized the candy machine cabinet. The broken ground pi",FATAL_ANONYMOUS,news:EC&M Magazine,D: Fatal + anonymous,Obituary / coroner search for victim name,medium
ESD-0000-00-00-3.md,ESD-0000-00-00-3,None,,TX,Lake Travis,None,,2,fatal,SUSPECTED,False,,1,0,0,LOA1,"Two juvenile females jumped into the water off a dock at Lake Travis, Texas, and were electrocuted. Witnesses described them as having 'eyes wide open, mouth wide open, very stiff and unable to talk' before going limp and rolling over. A detective's report noted involvement of a second juvenile witn",NOVEL_LOW_INDEP | FATAL_ANONYMOUS,,A: Novel + thin,"Find second independent source, or mark SUSPECTED",medium
ESD-1981-07-00-1.md,ESD-1981-07-00-1,1981-07,1981,CT,Connecticut River,None,,0,near-miss,UNVERIFIED,True,,0,0,0,ESDPA,"Diver checking zincs in the Connecticut River at Essex, CT felt strong electric pulses in brackish water. Backed away. Pulses stopped after securing boat power.",ESDPA_ONLY_NO_INDEP | EMPTY_SOURCES_LIST,,"B: ESDPA-only, old","Check obituary archives, local newspaper morgues",hard
ESD-1982-00-00-1.md,ESD-1982-00-00-1,1982,1982,WI,Green Bay,None,,0,near-miss,UNVERIFIED,True,,0,0,0,ESDPA,"A 23-year-old woman grabbed a dock cleat to exit the water at Egg Harbor, WI and couldn't let go (tetanic muscle contraction). Her hand went numb. A passerby kicked her hand free. No injuries. An open neutral was found as the cause.",ESDPA_ONLY_NO_INDEP | EMPTY_SOURCES_LIST,,"B: ESDPA-only, old","Check obituary archives, local newspaper morgues",hard
ESD-1982-12-00-1.md,ESD-1982-12-00-1,1982-12,1982,TX,Lake O' The Pines,Near Johnson Creek,G. Brockett Irwin,1,fatal,SUSPECTED,False,,1,1,1,LOA1,Attorney G. Brockett Irwin was electrocuted when his sailboat mast struck an overhead power line crossing Lake O' The Pines near Johnson Creek in East Texas. Three other occupants survived. Brother Tom Irwin is quoted in a 2017 article about the Boy Scout incident at the same lake. After this incide,NOVEL_LOW_INDEP,news:JR Law Firm,A: Novel + thin,"Find second independent source, or mark SUSPECTED",medium
ESD-1986-07-29-1.md,ESD-1986-07-29-1,1986-07-29,1986,MI,Lake St. Clair,Grosse Pointe Yacht Club,,1,fatal,UNVERIFIED,True,#113A (Rev. 8/15/2025),0,0,0,ESDPA,"Diver drowned at Grosse Pointe Yacht Club on Lake St. Clair, Michigan. No victim name, age, or gender identified. Information relayed third-hand per ESDPA list. Paired with a same-date diver drowning at Petoskey, MI (FI-1986-002); the two may represent a single confused report.",ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, old","Check obituary archives, local newspaper morgues",hard
ESD-1986-07-29-2.md,ESD-1986-07-29-2,1986-07-29,1986,MI,Little Traverse Bay (Lake Michigan),None,,1,fatal,UNVERIFIED,True,#113B (Rev. 8/15/2025),0,0,0,ESDPA,"Diver drowned at Petoskey, Michigan, on Little Traverse Bay (Lake Michigan). No victim name, age, or gender identified. Information relayed third-hand per ESDPA list. Paired with a same-date diver drowning at Grosse Pointe Yacht Club, MI (FI-1986-001); the two may represent a single confused report.",ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, old","Check obituary archives, local newspaper morgues",hard
ESD-1987-00-00-1.md,ESD-1987-00-00-1,1987,1987,MI,Lake Macatawa,Bay Haven Marina,,1,fatal,UNVERIFIED,True,#112 (Rev. 8/15/2025),0,0,0,ESDPA,An 18-year-old boy fell off a dock at Bay Haven Marina on Lake Macatawa and drowned. Two would-be rescuers experienced severe electric shock upon entering the water and were unable to complete rescue attempts. The year is uncertain (1987 or 1988).,ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, old","Check obituary archives, local newspaper morgues",hard
ESD-1988-04-23-1.md,ESD-1988-04-23-1,1988-04-23,1988,OK,None,None,,1,fatal,UNVERIFIED,True,#110 (Rev. 8/15/2025),0,0,0,ESDPA,"Single drowning fatality in Oklahoma from a fault in a submersible pump, freshwater environment. No victim name, age, or specific location identified. The CDC MMWR documented five similar deaths at northeastern Oklahoma lakes (1989-1993) with 96% of docks violating NEC; this 1988 incident likely occ",ESDPA_ONLY_NO_INDEP | FATAL_ANONYMOUS | EMPTY_SOURCES_LIST,,"B: ESDPA-only, old","Check obituary archives, local newspaper morgues",hard
