incident_id,year,state,facility_name,body_of_water,electrical_source,water_type,setting
ESD-0000-00-00-2,NA,OK,City recreational center pool,Community swimming pool,other,pool,Commercial
ESD-0000-00-00-3,NA,TX,NA,Lake Travis,charger,fresh,Other/Unknown
ESD-1981-07-00-1,1981,CT,NA,Connecticut River,shore_power,brackish,Other/Unknown
ESD-1982-00-00-1,1982,WI,NA,Green Bay,dock_wiring,fresh,Other/Unknown
ESD-1982-12-00-1,1982,TX,Near Johnson Creek,Lake O' The Pines,overhead_line,fresh,Other/Unknown
ESD-0000-00-00-1,1986,WI,Unknown — near swim platform,St. Croix River,charger,fresh,Other/Unknown
ESD-1986-07-29-1,1986,MI,Grosse Pointe Yacht Club,Lake St. Clair,dock_wiring,fresh,Commercial
ESD-1986-07-29-2,1986,MI,NA,Little Traverse Bay (Lake Michigan),dock_wiring,fresh,Other/Unknown
ESD-1986-07-29-3,1986,KY,Harrods Creek Boat Harbor,Harrods Creek (Ohio River),shore_power,fresh,Commercial
ESD-1987-00-00-1,1987,MI,Bay Haven Marina,Lake Macatawa,dock_wiring,fresh,Commercial
ESD-1988-04-21-1,1988,NY,State University of New York at Albany (SUNY Albany),Indian Lake (campus pond),other,fresh,Other/Unknown
ESD-1988-04-23-1,1988,OK,NA,NA,other,fresh,Other/Unknown
ESD-1989-06-01-1,1989,OK,NA,Lake B (southern Oklahoma — lake name anonymized by CDC),dock_wiring,fresh,Other/Unknown
ESD-1989-12-08-1,1989,OK,NA,Lake A (northeastern Oklahoma; likely Grand Lake O' the Cherokees),other,fresh,Other/Unknown
ESD-1991-07-00-1,1991,AR,NA,Lake Hamilton,dock_wiring,fresh,Other/Unknown
ESD-1991-07-24-1,1991,OK,NA,Lake A (northeastern Oklahoma; likely Grand Lake O' the Cherokees),dock_wiring,fresh,Other/Unknown
ESD-1993-07-00-1,1993,NY,NA,St. Lawrence River (Thousand Islands),dock_wiring,fresh,Other/Unknown
ESD-1993-07-27-1,1993,OK,NA,Lake A (northeastern Oklahoma — lake name anonymized by CDC; likely Grand Lake O' the Cherokees),dock_wiring,fresh,Other/Unknown
ESD-1993-09-00-1,1993,TX,NA,NA,boat_lift,salt,Other/Unknown
ESD-1993-09-05-1,1993,OK,NA,Lake A (northeastern Oklahoma; likely Grand Lake O' the Cherokees),other,fresh,Other/Unknown
ESD-1994-00-00-1,1994,DC,Bolling Air Force Base (now Joint Base Anacostia-Bolling),Potomac River,other,fresh,Commercial
ESD-1994-00-00-2,1994,TX,NA,NA,boat_lift,salt,Other/Unknown
ESD-1995-02-00-1,1995,NV,NA,Lake Mead,shore_power,fresh,Other/Unknown
ESD-1995-08-00-1,1995,KY,Jamestown Resort and Marina,Lake Cumberland,shore_power,fresh,Commercial
ESD-1997-07-00-1,1997,DC,"Air Force Base, Washington DC (likely Bolling AFB / Joint Base Anacostia-Bolling)",Anacostia River / Potomac River,dock_wiring,fresh,Commercial
ESD-1997-07-00-2,1997,NV,NA,Lake Mead,shore_power,fresh,Other/Unknown
ESD-1998-07-03-1,1998,WA,NA,Lake Chelan,dock_wiring,fresh,Other/Unknown
ESD-1998-09-00-1,1998,CA,Lake Sonoma Marina (operated by concessionaire for US Army Corps of Engineers),Lake Sonoma,dock_wiring,fresh,Commercial
ESD-1998-09-00-2,1998,CA,NA,Sacramento River / Sacramento-San Joaquin River Delta,dock_wiring,fresh,Other/Unknown
ESD-1999-07-00-1,1999,SC,NA,NA,unknown,fresh,Other/Unknown
ESD-1999-07-00-2,1999,AZ,NA,Lake Mohave,shore_power,fresh,Other/Unknown
