file,incident_id,date,year,state,body_of_water,city,county,facility_name,incident_type,fatality_count,injury_count,near_miss_count,verification_level,is_freshwater_private_dock,is_freshwater_marina,esdpa_listed,lat,lon,query_used,match_type,display_name,from_cache
ESD-0000-00-00-1.md,ESD-0000-00-00-1,1986-06-08,1986,WI,St. Croix River,Prescott,Pierce,Unknown — near swim platform,fatal,1,0,0,UNVERIFIED,False,False,True,45.5395961,-92.7253459,"St. Croix River, WI",body+state,"Saint Croix River, Minnesota, United States",False
ESD-0000-00-00-2.md,ESD-0000-00-00-2,,,OK,Community swimming pool,,,City recreational center pool,fatal,1,0,0,UNVERIFIED,False,False,True,35.565342,-96.928917,OK,state_centroid,(state centroid: OK),True
ESD-0000-00-00-3.md,ESD-0000-00-00-3,,,TX,Lake Travis,,Travis,,fatal,2,0,0,SUSPECTED,False,False,False,30.4645913,-98.0783472,"Lake Travis, TX",body+state,"Lake Travis, Briarcliff, Travis County, Texas, 78663, United States",False
ESD-1981-07-00-1.md,ESD-1981-07-00-1,1981-07,1981,CT,Connecticut River,Essex,,,near-miss,0,0,1,UNVERIFIED,False,False,True,41.4125419,-72.4586032,"Connecticut River, CT",body+state,"Lower Connecticut River Valley Planning Region, Connecticut, United States",False
ESD-1982-00-00-1.md,ESD-1982-00-00-1,1982,1982,WI,Green Bay,Egg Harbor,Door,,near-miss,0,0,1,UNVERIFIED,False,False,True,44.5126379,-88.0125794,"Green Bay, WI",body+state,"Green Bay, Brown County, Wisconsin, United States",False
ESD-1982-12-00-1.md,ESD-1982-12-00-1,1982-12,1982,TX,Lake O' The Pines,Avinger,Marion,Near Johnson Creek,fatal,1,0,3,SUSPECTED,False,False,False,32.820786,-94.6605031,"Lake O' The Pines, TX",body+state,"Lake O' the Pines, Marion County, Texas, United States",False
ESD-1986-07-29-1.md,ESD-1986-07-29-1,1986-07-29,1986,MI,Lake St. Clair,Grosse Pointe Shores,Wayne,Grosse Pointe Yacht Club,fatal,1,0,0,UNVERIFIED,False,True,True,42.4934836,-82.7392729,"Lake St. Clair, MI",body+state,"Lake Saint Clair, Macomb County, Michigan, United States",False
ESD-1986-07-29-2.md,ESD-1986-07-29-2,1986-07-29,1986,MI,Little Traverse Bay (Lake Michigan),Petoskey,Emmet,,fatal,1,0,0,UNVERIFIED,False,False,True,45.400009,-85.0264449,"Little Traverse Bay, MI",body+state,"Little Traverse Bay, Michigan, United States",False
ESD-1986-07-29-3.md,ESD-1986-07-29-3,1986-07-29,1986,KY,Harrods Creek (Ohio River),Louisville,Jefferson,Harrods Creek Boat Harbor,fatal,2,0,0,VERIFIED,False,True,True,38.3275686,-85.6277393,"Harrods Creek, KY",body+state,"Harrods Creek, Louisville, Jefferson County, Kentucky, 40059, United States",False
ESD-1987-00-00-1.md,ESD-1987-00-00-1,1987,1987,MI,Lake Macatawa,Park Township,Ottawa,Bay Haven Marina,fatal,1,0,2,UNVERIFIED,False,True,True,42.7820312,-86.1807147,"Lake Macatawa, MI",body+state,"Lake Macatawa, Park Township, Ottawa County, Michigan, United States",False
ESD-1988-04-21-1.md,ESD-1988-04-21-1,1988-04-21,1988,NY,Indian Lake (campus pond),Albany,Albany,State University of New York at Albany (SUNY Albany),fatal,1,2,0,VERIFIED,False,False,True,43.782497,-74.272041,"Indian Lake, NY",body+state,"Town of Indian Lake, Hamilton County, New York, United States",False
ESD-1988-04-23-1.md,ESD-1988-04-23-1,1988-04-23,1988,OK,,,,,fatal,1,0,0,UNVERIFIED,False,False,True,35.565342,-96.928917,OK,state_centroid,(state centroid: OK),True
ESD-1989-06-01-1.md,ESD-1989-06-01-1,1989-06-01,1989,OK,Lake B (southern Oklahoma — lake name anonymized by CDC),,,,fatal,1,0,0,CONFIRMED,False,False,False,36.1400892,-96.0819455,"Lake B, OK",body+state,"Lake, Tulsa, Oklahoma, United States",False
ESD-1989-12-08-1.md,ESD-1989-12-08-1,1989-12-08,1989,OK,Lake A (northeastern Oklahoma; likely Grand Lake O' the Cherokees),,,,fatal,1,0,0,CONFIRMED,False,False,True,36.1400892,-96.0819455,"Lake A, OK",body+state,"Lake, Tulsa, Oklahoma, United States",False
ESD-1991-07-00-1.md,ESD-1991-07-00-1,1991-07,1991,AR,Lake Hamilton,Hot Springs,Garland,,fatal,1,0,0,CONFIRMED,False,False,True,34.425335,-93.088864,"Lake Hamilton, AR",body+state,"Lake Hamilton, Hot Springs, Garland County, Arkansas, United States",False
ESD-1991-07-24-1.md,ESD-1991-07-24-1,1991-07-24,1991,OK,Lake A (northeastern Oklahoma; likely Grand Lake O' the Cherokees),,,,fatal,1,1,0,CONFIRMED,False,False,True,36.1400892,-96.0819455,"Lake A, OK",body+state,"Lake, Tulsa, Oklahoma, United States",True
ESD-1993-07-00-1.md,ESD-1993-07-00-1,1993-07,1993,NY,St. Lawrence River (Thousand Islands),Alexandria Bay,Jefferson,,fatal,2,2,0,UNVERIFIED,False,False,True,44.9968419,-74.7216551,"St. Lawrence River, NY",body+state,"Saint Lawrence River, St. Regis, Town of Bombay, Franklin County, New York, United States",False
ESD-1993-07-27-1.md,ESD-1993-07-27-1,1993-07-27,1993,OK,Lake A (northeastern Oklahoma — lake name anonymized by CDC; likely Grand Lake O' the Cherokees),,,,fatal,1,0,0,CONFIRMED,False,False,False,36.1400892,-96.0819455,"Lake A, OK",body+state,"Lake, Tulsa, Oklahoma, United States",True
ESD-1993-09-00-1.md,ESD-1993-09-00-1,1993-09,1993,TX,,,,,fatal,1,0,0,UNVERIFIED,False,False,True,31.054487,-97.563461,TX,state_centroid,(state centroid: TX),True
ESD-1993-09-05-1.md,ESD-1993-09-05-1,1993-09-05,1993,OK,Lake A (northeastern Oklahoma; likely Grand Lake O' the Cherokees),,,,fatal,1,0,0,CONFIRMED,False,False,True,36.1400892,-96.0819455,"Lake A, OK",body+state,"Lake, Tulsa, Oklahoma, United States",True
ESD-1994-00-00-1.md,ESD-1994-00-00-1,1994,1994,DC,Potomac River,Washington,,Bolling Air Force Base (now Joint Base Anacostia-Bolling),fatal,1,0,0,UNVERIFIED,False,False,True,39.0739106,-77.427643,"Potomac River, DC",body+state,"Potomac River, Maryland, United States",False
ESD-1994-00-00-2.md,ESD-1994-00-00-2,1994,1994,TX,,,,,fatal,1,0,0,SUSPECTED,False,False,False,31.054487,-97.563461,TX,state_centroid,(state centroid: TX),True
ESD-1995-02-00-1.md,ESD-1995-02-00-1,1995-02,1995,NV,Lake Mead,,Clark,,fatal,1,0,0,UNVERIFIED,False,False,True,36.2130617,-114.4132805,"Lake Mead, NV",body+state,"Lake Mead, Clark County, Nevada, United States",False
ESD-1995-08-00-1.md,ESD-1995-08-00-1,1995-08,1995,KY,Lake Cumberland,Jamestown,Russell,Jamestown Resort and Marina,near-miss,0,0,7,UNVERIFIED,False,True,True,36.9385265,-85.0196128,"Lake Cumberland, KY",body+state,"Lake Cumberland, Burnside, Russell County, Kentucky, United States",False
ESD-1997-07-00-1.md,ESD-1997-07-00-1,1997-07,1997,DC,Anacostia River / Potomac River,Washington,,"Air Force Base, Washington DC (likely Bolling AFB / Joint Base Anacostia-Bolling)",fatal,1,0,0,UNVERIFIED,False,False,True,38.8377469,-77.0170934,"Air Force Base, DC",facility+state,"Bolling Air Force Base, Ward 8, Washington, District of Columbia, 20332, United States",False
ESD-1997-07-00-2.md,ESD-1997-07-00-2,1997-07,1997,NV,Lake Mead,,Clark,,fatal,1,0,0,SUSPECTED,False,False,False,36.2130617,-114.4132805,"Lake Mead, NV",body+state,"Lake Mead, Clark County, Nevada, United States",True
ESD-1998-07-03-1.md,ESD-1998-07-03-1,1998-07-03,1998,WA,Lake Chelan,Chelan,Chelan,,near-miss,0,1,2,UNVERIFIED,False,False,True,48.0785862,-120.4757138,"Lake Chelan, WA",body+state,"Lake Chelan, Chelan, Chelan County, Washington, United States",False
ESD-1998-09-00-1.md,ESD-1998-09-00-1,1998-09,1998,CA,Lake Sonoma,Healdsburg,Sonoma,Lake Sonoma Marina (operated by concessionaire for US Army Corps of Engineers),fatal,1,0,0,VERIFIED,False,True,True,38.7379866,-123.0627632,"Lake Sonoma, CA",body+state,"Lake Sonoma, Sonoma County, California, United States",False
