year,incidents,fatalities,injuries,near_misses
1981,1,0,0,1
1982,2,1,0,4
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,4,5,0,0
1987,1,1,0,2
1988,2,2,2,0
1989,2,2,0,0
1990,0,0,0,0
1991,2,2,1,0
1992,0,0,0,0
1993,4,5,2,0
1994,2,2,0,0
1995,2,1,0,7
1996,0,0,0,0
1997,2,2,0,0
1998,3,3,1,2
1999,5,5,3,0
2000,4,4,1,2
2001,4,5,2,0
2002,5,3,2,4
2003,3,2,0,1
2004,9,6,2,7
2005,3,1,2,1
2006,9,7,11,5
2007,5,1,2,3
2008,2,2,2,0
2009,0,0,0,0
2010,12,5,8,10
2011,7,5,12,4
2012,13,14,15,9
2013,11,7,4,16
2014,9,5,12,7
2015,4,2,3,0
2016,11,11,24,3
2017,21,26,9,12
2018,8,1,7,9
2019,5,5,8,14
2020,4,4,2,1
2021,3,3,1,2
2022,3,2,1,0
2023,6,6,9,0
2024,3,1,9,0
2025,3,2,4,5
