year,flag_setting,incidents
1981,Freshwater marina,0
1981,Neither,1
1981,Private freshwater dock,0
1982,Freshwater marina,0
1982,Neither,2
1982,Private freshwater dock,0
1983,Freshwater marina,0
1983,Neither,0
1983,Private freshwater dock,0
1984,Freshwater marina,0
1984,Neither,0
1984,Private freshwater dock,0
1985,Freshwater marina,0
1985,Neither,0
1985,Private freshwater dock,0
1986,Freshwater marina,2
1986,Neither,2
1986,Private freshwater dock,0
1987,Freshwater marina,1
1987,Neither,0
1987,Private freshwater dock,0
1988,Freshwater marina,0
1988,Neither,2
1988,Private freshwater dock,0
1989,Freshwater marina,0
1989,Neither,2
1989,Private freshwater dock,0
1990,Freshwater marina,0
1990,Neither,0
1990,Private freshwater dock,0
1991,Freshwater marina,0
1991,Neither,2
1991,Private freshwater dock,0
1992,Freshwater marina,0
1992,Neither,0
1992,Private freshwater dock,0
1993,Freshwater marina,0
1993,Neither,4
1993,Private freshwater dock,0
1994,Freshwater marina,0
1994,Neither,2
1994,Private freshwater dock,0
1995,Freshwater marina,1
1995,Neither,1
1995,Private freshwater dock,0
1996,Freshwater marina,0
1996,Neither,0
1996,Private freshwater dock,0
1997,Freshwater marina,0
1997,Neither,2
1997,Private freshwater dock,0
1998,Freshwater marina,2
1998,Neither,1
1998,Private freshwater dock,0
1999,Freshwater marina,1
1999,Neither,4
1999,Private freshwater dock,0
2000,Freshwater marina,1
2000,Neither,2
2000,Private freshwater dock,1
2001,Freshwater marina,0
2001,Neither,3
2001,Private freshwater dock,1
2002,Freshwater marina,1
2002,Neither,4
2002,Private freshwater dock,0
2003,Freshwater marina,1
2003,Neither,1
2003,Private freshwater dock,1
2004,Freshwater marina,4
2004,Neither,3
2004,Private freshwater dock,2
2005,Freshwater marina,1
2005,Neither,2
2005,Private freshwater dock,0
2006,Freshwater marina,4
2006,Neither,1
2006,Private freshwater dock,4
2007,Freshwater marina,2
2007,Neither,2
2007,Private freshwater dock,1
2008,Freshwater marina,1
2008,Neither,1
2008,Private freshwater dock,0
2009,Freshwater marina,0
2009,Neither,0
2009,Private freshwater dock,0
2010,Freshwater marina,2
2010,Neither,6
2010,Private freshwater dock,4
2011,Freshwater marina,2
2011,Neither,3
2011,Private freshwater dock,2
2012,Freshwater marina,1
2012,Neither,7
2012,Private freshwater dock,5
2013,Freshwater marina,1
2013,Neither,6
2013,Private freshwater dock,4
2014,Freshwater marina,2
2014,Neither,6
2014,Private freshwater dock,1
2015,Freshwater marina,0
2015,Neither,2
2015,Private freshwater dock,2
2016,Freshwater marina,0
2016,Neither,9
2016,Private freshwater dock,2
2017,Freshwater marina,2
2017,Neither,15
2017,Private freshwater dock,4
2018,Freshwater marina,0
2018,Neither,4
2018,Private freshwater dock,4
2019,Freshwater marina,0
2019,Neither,5
2019,Private freshwater dock,0
2020,Freshwater marina,1
2020,Neither,2
2020,Private freshwater dock,1
2021,Freshwater marina,1
2021,Neither,2
2021,Private freshwater dock,0
2022,Freshwater marina,1
2022,Neither,2
2022,Private freshwater dock,0
2023,Freshwater marina,0
2023,Neither,4
2023,Private freshwater dock,2
2024,Freshwater marina,0
2024,Neither,2
2024,Private freshwater dock,1
2025,Freshwater marina,1
2025,Neither,1
2025,Private freshwater dock,1
