year,setting,incidents
1981,Commercial,0
1981,Other/Unknown,1
1981,Residential,0
1982,Commercial,0
1982,Other/Unknown,2
1982,Residential,0
1983,Commercial,0
1983,Other/Unknown,0
1983,Residential,0
1984,Commercial,0
1984,Other/Unknown,0
1984,Residential,0
1985,Commercial,0
1985,Other/Unknown,0
1985,Residential,0
1986,Commercial,2
1986,Other/Unknown,2
1986,Residential,0
1987,Commercial,1
1987,Other/Unknown,0
1987,Residential,0
1988,Commercial,0
1988,Other/Unknown,2
1988,Residential,0
1989,Commercial,0
1989,Other/Unknown,2
1989,Residential,0
1990,Commercial,0
1990,Other/Unknown,0
1990,Residential,0
1991,Commercial,0
1991,Other/Unknown,2
1991,Residential,0
1992,Commercial,0
1992,Other/Unknown,0
1992,Residential,0
1993,Commercial,0
1993,Other/Unknown,4
1993,Residential,0
1994,Commercial,1
1994,Other/Unknown,1
1994,Residential,0
1995,Commercial,1
1995,Other/Unknown,1
1995,Residential,0
1996,Commercial,0
1996,Other/Unknown,0
1996,Residential,0
1997,Commercial,1
1997,Other/Unknown,1
1997,Residential,0
1998,Commercial,1
1998,Other/Unknown,2
1998,Residential,0
1999,Commercial,1
1999,Other/Unknown,4
1999,Residential,0
2000,Commercial,1
2000,Other/Unknown,3
2000,Residential,0
2001,Commercial,1
2001,Other/Unknown,2
2001,Residential,1
2002,Commercial,3
2002,Other/Unknown,2
2002,Residential,0
2003,Commercial,0
2003,Other/Unknown,2
2003,Residential,1
2004,Commercial,4
2004,Other/Unknown,3
2004,Residential,2
2005,Commercial,2
2005,Other/Unknown,1
2005,Residential,0
2006,Commercial,3
2006,Other/Unknown,2
2006,Residential,4
2007,Commercial,2
2007,Other/Unknown,2
2007,Residential,1
2008,Commercial,2
2008,Other/Unknown,0
2008,Residential,0
2009,Commercial,0
2009,Other/Unknown,0
2009,Residential,0
2010,Commercial,4
2010,Other/Unknown,7
2010,Residential,1
2011,Commercial,1
2011,Other/Unknown,4
2011,Residential,2
2012,Commercial,2
2012,Other/Unknown,6
2012,Residential,5
2013,Commercial,3
2013,Other/Unknown,1
2013,Residential,7
2014,Commercial,5
2014,Other/Unknown,3
2014,Residential,1
2015,Commercial,1
2015,Other/Unknown,2
2015,Residential,1
2016,Commercial,1
2016,Other/Unknown,3
2016,Residential,7
2017,Commercial,6
2017,Other/Unknown,7
2017,Residential,8
2018,Commercial,1
2018,Other/Unknown,3
2018,Residential,4
2019,Commercial,2
2019,Other/Unknown,2
2019,Residential,1
2020,Commercial,2
2020,Other/Unknown,1
2020,Residential,1
2021,Commercial,1
2021,Other/Unknown,2
2021,Residential,0
2022,Commercial,3
2022,Other/Unknown,0
2022,Residential,0
2023,Commercial,2
2023,Other/Unknown,2
2023,Residential,2
2024,Commercial,1
2024,Other/Unknown,0
2024,Residential,2
2025,Commercial,2
2025,Other/Unknown,0
2025,Residential,1
