incident_id,date,year,era,state,county,city,body_of_water,facility_name,latitude,longitude,setting,is_freshwater_marina,is_freshwater_private_dock,incident_type,fatality_count,injury_count,near_miss_count,verification_level,esdpa_listed,discovery_source,independent_source_count,electrical_source,electrical_source_detail,voltage,water_type,source_url
ESD-0000-00-00-2,,,Unknown,OK,,,Community swimming pool,City recreational center pool,35.565342,-96.928917,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,UNVERIFIED,True,ESDPA,1,other,Damaged power cord from adjacent soda machine pinched under candy machine leg; broken grounding pin on candy machine,,pool,https://www.ecmweb.com/content/article/20898270/case-of-the-lethal-candy-machine
ESD-0000-00-00-3,,,Unknown,TX,Travis,,Lake Travis,,30.4645913,-98.0783472,"Other (pool, fountain, public, unknown)",False,False,fatal,2,0,0,SUSPECTED,False,LOA1,1,charger,Faulty battery charger on houseboat with lack of grounding system,,fresh,
ESD-1981-07-00-1,1981-07,1981,Pre-NEC 555 (1981-2010),CT,,Essex,Connecticut River,,41.4125419,-72.4586032,"Other (pool, fountain, public, unknown)",False,False,near-miss,0,0,1,UNVERIFIED,True,ESDPA,0,shore_power,Boat power energizing water; diver checking zincs felt strong electric pulses,,brackish,
ESD-1982-00-00-1,1982,1982,Pre-NEC 555 (1981-2010),WI,Door,Egg Harbor,Green Bay,,44.5126379,-88.0125794,"Other (pool, fountain, public, unknown)",False,False,near-miss,0,0,1,UNVERIFIED,True,ESDPA,0,dock_wiring,Open neutral energized dock cleat,,fresh,
ESD-1982-12-00-1,1982-12,1982,Pre-NEC 555 (1981-2010),TX,Marion,Avinger,Lake O' The Pines,Near Johnson Creek,32.820786,-94.6605031,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,3,SUSPECTED,False,LOA1,1,overhead_line,Sailboat mast struck overhead power line crossing Lake O' The Pines near Johnson Creek,,fresh,https://jrlawfirm.com/news/power-lines-over-lakes/
ESD-0000-00-00-1,1986-06-08,1986,Pre-NEC 555 (1981-2010),WI,Pierce,Prescott,St. Croix River,Unknown — near swim platform,45.5395961,-92.7253459,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,UNVERIFIED,True,ESDPA,0,charger,Battery charger fault; no AC grounding wire present,,fresh,
ESD-1986-07-29-1,1986-07-29,1986,Pre-NEC 555 (1981-2010),MI,Wayne,Grosse Pointe Shores,Lake St. Clair,Grosse Pointe Yacht Club,42.4934836,-82.7392729,Freshwater marina,True,False,fatal,1,0,0,UNVERIFIED,True,ESDPA,0,dock_wiring,Diver drowned at yacht club; details relayed third-hand,,fresh,
ESD-1986-07-29-2,1986-07-29,1986,Pre-NEC 555 (1981-2010),MI,Emmet,Petoskey,Little Traverse Bay (Lake Michigan),,45.400009,-85.0264449,"Other (pool, fountain, public, unknown)",False,False,fatal,1,0,0,UNVERIFIED,True,ESDPA,0,dock_wiring,Diver drowned; details relayed third-hand,,fresh,
ESD-1986-07-29-3,1986-07-29,1986,Pre-NEC 555 (1981-2010),KY,Jefferson,Louisville,Harrods Creek (Ohio River),Harrods Creek Boat Harbor,38.3275686,-85.6277393,Freshwater marina,True,False,fatal,2,0,0,VERIFIED,True,ESDPA,3,shore_power,Faulty light switch and missing ground on a nearby houseboat,,fresh,https://www.odmp.org/officer/4045-detective-jack-s-deuser
ESD-1987-00-00-1,1987,1987,Pre-NEC 555 (1981-2010),MI,Ottawa,Park Township,Lake Macatawa,Bay Haven Marina,42.7820312,-86.1807147,Freshwater marina,True,False,fatal,1,0,2,UNVERIFIED,True,ESDPA,0,dock_wiring,Victim fell off dock into electrified water; two rescue attempts thwarted by severe electric shock,,fresh,
